task scheduler:,,,,,,,,,,,,,
Time(%),Time(us),Count,Avg(us),Min(us),Max(us),Waiting(us),Running(us),Pending(us),Type,API,Task ID,Op Name,Stream ID
0.0855,50715.535,50,1014.31,847.082,1217.082,0,50715.535,0,kernel AI cpu task,,19,Relu_8,512
0.0802,47559.34,50,951.186,931.769,1017.55,0,47559.34,0,kernel AI cpu task,,23,Relu_10,512
0.0466,27661.734,50,553.234,542.707,577.29,0,27661.734,0,kernel AI cpu task,,47,Relu_23,512
0.0383,22740.651,50,454.813,436.762,473.796,0,22740.651,0,kernel AI core task,KernelLaunch,44,AveragePool_21,512
0.0305,18074.931,50,361.498,350.358,383.693,0,18074.931,0,kernel AI core task,KernelLaunch,45,Conv_22,512
0.0264,15671.191,50,313.423,310.412,316.455,0,15671.191,0,kernel AI core task,KernelLaunch,10,Conv_2,512
0.0238,14136.322,50,282.726,274.581,298.593,0,14136.322,0,kernel AI cpu task,,57,trans_Cast_58,512
0.0236,14013.477,50,280.269,266.137,292.701,0,14013.477,0,kernel AI core task,KernelLaunch,50,GlobalAveragePool_25,512
0.023,13660.827,50,273.216,266.35,284.996,0,13660.827,0,kernel AI core task,KernelLaunch,41,trans_TransData_12,512
0.019,11259.493,50,225.189,220.618,241.139,0,11259.493,0,kernel AI core task,KernelLaunch,51,trans_TransData_50,512
0.0181,10729.411,50,214.588,200.152,229.213,0,10729.411,0,kernel AI core task,KernelLaunch,6,Conv_0,512
0.0181,10752.112,50,215.042,172.493,246.609,0,10752.112,0,kernel AI core task,KernelLaunch,17,Conv_7,512
0.018,10672.841,50,213.456,197.913,228.64,0,10672.841,0,kernel AI core task,KernelLaunch,5,trans_TransData_1,512
0.0142,8448.948,50,168.978,158.798,177.758,0,8448.948,0,kernel AI core task,KernelLaunch,37,Conv_17,512
0.0124,7384.315,50,147.686,142.549,155.154,0,7384.315,0,kernel AI core task,KernelLaunch,25,Conv_11,512
0.0124,7344.751,50,146.895,140.205,152.028,0,7344.751,0,kernel AI core task,KernelLaunch,33,Conv_15,512
0.0106,6265.985,50,125.319,115.775,135.619,0,6265.985,0,kernel AI core task,KernelLaunch,49,Concat_24,512
0.0086,5094.792,50,101.895,93.955,111.715,0,5094.792,0,kernel AI core task,KernelLaunch,29,Conv_13,512
0.0076,4519.53,50,90.39,87.133,93.8,0,4519.53,0,kernel AI core task,KernelLaunch,21,Conv_9,512
0.0059,3491.925,50,69.838,48.068,77.756,0,3491.925,0,kernel AI core task,KernelLaunch,54,Gemm_27,512
0.0051,3032.42,50,60.648,39.945,70.673,0,3032.42,0,kernel AI core task,KernelLaunch,55,trans_TransData_56,512
0.0037,2194.085,50,43.881,41.141,49.839,0,2194.085,0,kernel AI core task,KernelLaunch,52,Flatten_26,512
0.0036,2112.052,50,42.241,39.945,44.786,0,2112.052,0,kernel AI core task,KernelLaunch,53,trans_TransData_51,512
0.0003,172.737,50,3.454,2.812,4.843,0,172.737,0,add model end graph task,,58,actual_input_1,512
,,,,,,,,,,,,,
op counter:,,,,,,,,,,,,,
Model Name,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%),,,,,
inceptionv3_resize_bs1,TransData,AI Core,350,12682841.06,39.945,36236.688,251397.336,35.741641,,,,,
inceptionv3_resize_bs1,Pooling,AI Core,100,11658915.99,436.762,116589.159,232791.66,32.856107,,,,,
inceptionv3_resize_bs1,FrameworkOp,AI CPU,1450,10003980.88,274.581,6899.297,50784.269,28.192318,,,,,
inceptionv3_resize_bs1,ResizeBilinearV2D,AI Core,50,934406.899,18588.59,18688.137,18913.848,2.633261,,,,,
inceptionv3_resize_bs1,PadV3D,AI Core,50,89781.699,1781.189,1795.633,1814.004,0.253015,,,,,
inceptionv3_resize_bs1,Conv2D,AI Core,450,88019.981,87.133,195.599,383.693,0.24805,,,,,
inceptionv3_resize_bs1,AvgPool,AI Core,50,14013.477,266.137,280.269,292.701,0.039492,,,,,
inceptionv3_resize_bs1,ConcatD,AI Core,50,6265.985,115.775,125.319,135.619,0.017658,,,,,
inceptionv3_resize_bs1,MatMulV2,AI Core,50,3491.925,48.068,69.838,77.756,0.009841,,,,,
inceptionv3_resize_bs1,Flatten,AI Core,50,2194.085,41.141,43.881,49.839,0.006183,,,,,
inceptionv3_resize_bs1,Data,N/A,250,863.685,2.812,3.454,4.843,0.002434,,,,,
