redmi	CPU-2	CPU-4	CPU-8	opengl
InceptionV3/InceptionV3/Mixed_7b/Branch_2/Conv2d_0d_3x1/Conv2D	7440	4291	2310	5637
InceptionV3/InceptionV3/Mixed_7b/Branch_2/Conv2d_0c_1x3/Conv2D	9135	4805	2428	5800
InceptionV3/InceptionV3/Mixed_7b/Branch_1/concat	110	105	105	137
InceptionV3/InceptionV3/Mixed_7b/Branch_2/concat	75	74	130	121
InceptionV3/InceptionV3/Mixed_7b/concat	187	186	213	261
InceptionV3/InceptionV3/Mixed_7c/Branch_3/AvgPool_0a_3x3/AvgPool	1021	554	347	63
InceptionV3/InceptionV3/Mixed_7c/Branch_2/Conv2d_0a_1x1/Conv2D	11609	6644	5039	10769
InceptionV3/InceptionV3/Mixed_7c/Branch_1/Conv2d_0a_1x1/Conv2D	10073	5986	4704	6470
InceptionV3/InceptionV3/Mixed_7c/Branch_0/Conv2d_0a_1x1/Conv2D	8531	5111	4089	5582
InceptionV3/InceptionV3/Mixed_7c/Branch_3/Conv2d_0b_1x1/Conv2D	5598	3675	3082	3509
InceptionV3/InceptionV3/Mixed_7c/Branch_2/Conv2d_0b_3x3/Conv2D	14302	13526	13450	210
InceptionV3/InceptionV3/Mixed_7c/Branch_1/Conv2d_0c_3x1/Conv2D	7508	4378	2290	14750
InceptionV3/InceptionV3/Mixed_7c/Branch_1/Conv2d_0b_1x3/Conv2D	9149	4758	2415	5914
InceptionV3/InceptionV3/Mixed_7c/Branch_2/Conv2d_0d_3x1/Conv2D	7516	4289	2281	5351
InceptionV3/InceptionV3/Mixed_7c/Branch_2/Conv2d_0c_1x3/Conv2D	9146	4770	2557	5593
InceptionV3/InceptionV3/Mixed_7c/Branch_1/concat	104	111	108	143
InceptionV3/InceptionV3/Mixed_7c/Branch_2/concat	85	81	83	120
InceptionV3/InceptionV3/Mixed_7c/concat	233	230	233	265
InceptionV3/Logits/AvgPool_1a_8x8/AvgPool	266	141	137	102
InceptionV3/Logits/Conv2d_1c_1x1/Conv2D	1799	1281	1627	44086
InceptionV3/Logits/Conv2d_1c_1x1/Conv2D___tr4InceptionV3/Logits/SpatialSqueeze	4	5	6	86
InceptionV3/Logits/SpatialSqueeze	3	3	5	181
InceptionV3/Predictions/Shape	1	0	0	1
InceptionV3/Predictions/Reshape	3	3	3	160
InceptionV3/Predictions/Softmax	28	27	30	83
InceptionV3/Predictions/Reshape_1	1	2	2	185
